Рейтинг,Рейтинг кинокритиков,Название,Оригинальное название,Главные роли,год,страна,слоган,режиссер,сценарий,продюсер,оператор,композитор,художник,монтаж,жанр,бюджет,сборы в США,сборы в мире,сборы в России,зрители,премьера (мир),премьера (РФ),релиз на DVD,релиз на Blu-ray,возраст,рейтинг MPAA,время
8.437,88%,Пробуждение,Awakenings,"Роберт Де Ниро, Робин Уильямс, Джон Хёрд, Джули Кавнер, Пенелопа Энн Миллер, Макс фон Сюдов, Брэдли Уитфорд, Петер Стормаре, Рут Нельсон, Элис Драммонд, ..., ",1990,США,«Открыв глаза на мир одному человеку... он открыл и свои собственные»,Пенни Маршалл,"Стивен Зеллиан,  Оливер Сакс","Лоуренс Ласкер,  Уолтер Ф. Паркс,  Эллиот Эбботт, ...",Мирослав Ондржичек,Рэнди Ньюман,"Антон Фёрст,  Билл Грум,  Синтия Флинт, ...","Бэттл Дэвис,  Джералд Б. Гринберг","драма,  биография, ... слова",,$52 096 475  сборы,,,"12.4 млн,      1.13 млн,      894.3 тыс., ...","12 декабря 1990, ...",,"23 августа 2007,                        «Columbia/Sony»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,121 мин. / 02:01
8.460,95%,В джазе только девушки,Some Like It Hot,"Мэрилин Монро, Тони Кертис, Джек Леммон, Джордж Рафт, Пэт О’Брайен, Джо Э. Браун, Нехемия Персофф, Джоан Шоули, Билли Грэй, Джордж Э. Стоун, ..., ",1959,США,«Marilyn Monroe and her bosom companions»,Билли Уайлдер,"Билли Уайлдер,  И.А.Л. Даймонд,  Роберт Тёрен, ...","Билли Уайлдер,  И.А.Л. Даймонд,  Доан Харрисон",Чарльз Лэнг,Адольф Дойч,"Тед Хаворт,  Эдвард Дж. Бойл",Артур П. Шмидт,"мелодрама,  комедия,  криминал,  приключения,  музыка, ... слова",$2 883 848,$25 000 000 сборы,,,"49 млн,      43.9 млн,      4.01 млн","19 марта 1959, ...",,"19 февраля 2003,                        «DVD Магия»","7 июля 2011,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 12 лет",,119 мин. / 01:59
8.339,63%,Хатико: Самый верный друг,Hachi: A Dog's Tale,"Ричард Гир, Джоан Аллен, Кэри-Хироюки Тагава, Сара Ремер, Джейсон Александер, Эрик Авари, Давиния МакФэдден, Робби Саблетт, Кевин ДеКосте, Роб Деньян, ..., ",2008,"Великобритания,  США","«Подлинная история веры, преданности и вечной любви»",Лассе Халльстрём,"Стефен П. Линдси,  Канэто Синдо","Ричард Гир,  Билл Джонсон,  Вики Шигекуни Вонг, ...",Рон Фортунато,Ян А.П. Качмарек,"Чад Детуиллер,  Джордан Джейкобс,  Дебора Ньюхолл, ...",Кристина Боден,"драма,  семейный, ... слова",$16 000 000,,$46 184 345                         сборы,$2 046 840  сборы,"858.4 тыс.,      720 тыс.,      387 тыс., ...","13 июня 2009, ...","22 октября 2009,                             «Вольга»","26 ноября 2009,                        «Вольга»",,для любой зрительской аудитории,нет возрастных ограничений,89 мин. / 01:29
8.435,97%,Унесённые призраками,Sen to Chihiro no kamikakushi,"Руми Хиираги, Мию Ирино, Мари Нацуки, Такаси Наито, Ясуко Савагути, Тацуя Гасюин, Рюносукэ Камики, Юми Тамаи, Ё Оидзуми, Коба Хаяси, ..., ",2001,Япония,«The tunnel led Chihiro to a mysterious town...»,Хаяо Миядзаки,Хаяо Миядзаки,"Тосио Судзуки,  Хиронори Аихара,  Ясуёси Токума, ...",Ацуси Окуи,Дзё Хисаиси,"Норобу Ёсида,  Ёдзи Такэсигэ",Такэси Сэяма,"аниме,  мультфильм,  фэнтези,  приключения,  семейный, ... слова",$19 000 000,$10 055 859,+ $264 869 236 = $274 925 095 сборы,,"23.5 млн,      1.69 млн,      1.42 млн, ...","20 июля 2001, ...","31 декабря 2002,                             «Централ Партнершип»","8 сентября 2005,                        «CP-Digital»",,"зрителям, достигшим 12 лет",рекомендуется присутствие родителей,125 мин. / 02:05
8.501,98%,Огни большого города,City Lights,"Вирджиния Черрилл, Гарри Майерс, Аль Эрнест Гарсиа, Хэнк Манн, Чарльз Чаплин, Джек Александр, Т.С. Александр, Виктор Александр, Альберт Остин, Гарри Айерс, ..., ",1931,США,«HE RETURNS -And the world rocks again with laughter»,Чарльз Чаплин,"Чарльз Чаплин,  Гарри Карр,  Гарри Крокер",Чарльз Чаплин,"Гордон Поллок,  Роланд Тотеро",Чарльз Чаплин,Генри Клив,"Чарльз Чаплин,  Уиллард Нико","комедия,  мелодрама,  драма, ... слова",$1 500 000,$19 181,,$26 901,6.3 тыс.,"30 января 1931, ...","7 ноября 2019,                             «Иноекино»",,"5 июля 2011,                        «Деваль-Видео»",для любой зрительской аудитории,нет возрастных ограничений,87 мин. / 01:27
8.507,,...А зори здесь тихие,,"Елена Драпеко, Екатерина Маркова, Ольга Остроумова, Ирина Шевчук, Ирина Долганова, Андрей Мартынов, Людмила Зайцева, Алла Мещерякова, Алексей Чернов, Виктор Авдюшко, ..., ",1972,СССР,-,Станислав Ростоцкий,"Станислав Ростоцкий,  Борис Васильев",,Вячеслав Шумский,Кирилл Молчанов,"Сергей Серебренников,  Эльза Рапопорт",Валентина Миронова,"драма,  военный,  история, ... слова",,,,,66 млн,"27 августа 1972, ...",,"29 февраля 2008,                        «Монолит», «Ruscico»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,160 мин. / 02:40
8.456,,"Кавказская пленница, или Новые приключения Шурика",,"Александр Демьяненко, Наталья Варлей, Юрий Никулин, Георгий Вицин, Евгений Моргунов, Владимир Этуш, Фрунзик Мкртчян, Руслан Ахметов, Нина Гребешкова, Михаил Глузский, ..., ",1966,СССР,-,Леонид Гайдай,"Леонид Гайдай,  Яков Костюковский,  Морис Слободской",,Константин Бровин,Александр Зацепин,"Владимир Каплуновский,  Н. Абакумов,  Н. Шимилис",Валентина Янковская,"комедия,  приключения,  мелодрама,  мюзикл, ... слова",25 313 руб.,,,,76.5 млн,"1 апреля 1967, ...",,"16 сентября 2008,                        «Lizard Cinema Trade»","26 мая 2011,                        «Парадиз»","зрителям, достигшим 12 лет",,82 мин. / 01:22
8.448,93%,Эта замечательная жизнь,It's a Wonderful Life,"Джеймс Стюарт, Донна Рид, Лайонел Бэрримор, Томас Митчелл, Генри Треверс, Бьюла Бонди, Фрэнк Фэйлен, Уорд Бонд, Глория Грэм, Х.Б. Уорнер, ..., ",1947,США,«They're going steady...straight to your heart!»,Фрэнк Капра,"Фрэнсис Гудрич,  Альберт Хэкетт,  Фрэнк Капра, ...",Фрэнк Капра,"Джозеф Ф. Бирок,  Джозеф Уолкер,  Виктор Милнер",Дмитрий Тёмкин,"Джек Окей,  Уильям Кэмерон Мензиес,  Эдвард Стивенсон, ...",Уильям Хорнбек,"фэнтези,  драма,  семейный, ... слова",$3 180 000,,,,,"20 декабря 1946, ...",,,,"зрителям, достигшим 12 лет",,130 мин. / 02:10
8.522,97%,"Хороший, плохой, злой","Il buono, il brutto, il cattivo","Клинт Иствуд, Ли Ван Клиф, Илай Уоллак, Альдо Джуффре, Луиджи Пистилли, Рада Рассимов, Энцо Петито, Клаудио Скаркилли, Джон Барта, Ливио Лоренцон, ..., ",1966,"Италия,  Испания,  Германия (ФРГ)","«Для этих трех мужчин гражданская война - не ад, для них она - учебка!»",Серджио Леоне,"Лучиано Винчензони,  Серджио Леоне,  Адженоре Инкроччи, ...",Альберто Гримальди,Тонино Делли Колли,Эннио Морриконе,Карло Сими,"Эудженио Алабисо,  Нино Баральи","вестерн, ... слова",$1 200 000,$25 100 000,+ $18 063 = $25 118 063 сборы,,6.31 млн,"23 декабря 1966, ...",,"14 января 2002,                        «DVD Магия»","5 июня 2014,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,178 мин. / 02:58
8.600,,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,,"Василий Ливанов, Виталий Соломин, Никита Михалков, Олег Янковский, Ирина Купченко, Александр Адабашьян, Светлана Крючкова, Алла Демидова, Евгений Стеблов, Сергей Мартинсон, ..., ",1981,СССР,-,Игорь Масленников,"Игорь Масленников,  Артур Конан Дойл,  Юрий Векслер",,"Дмитрий Долинин,  Владимир Ильин",Владимир Дашкевич,"Белла Маневич-Каплан,  Нелли Лев,  Римма Штиль",Людмила Образумова,"криминал,  детектив,  приключения, ... слова",,,,,,25 июля 1981,,"9 февраля 2010,                        «Lizard Cinema Trade»","10 декабря 2013,                        «Lizard Cinema Trade»",для любой зрительской аудитории,,154 мин. / 02:34
8.277,69%,Хористы,Les Choristes,"Жерар Жюньо, Франсуа Берлеан, Кад Мерад, Жан-Поль Боннер, Мари Бюнель, Поль Шарьера, Кароль Вайсс, Филипп дю Жанеран, Эрик Демарец, Жан-Батист Монье, ..., ",2004,"Франция,  Швейцария,  Германия",-,Кристоф Барратье,"Рене Велер,  Кристоф Барратье,  Ноэль-Ноэль, ...","Артур Кон,  Николя Моверне,  Жак Перрен, ...","Жан-Жак Буон,  Доминик Жантиль,  Карло Варини",Бруно Куле,"Франсуа Шаво,  Пьер Феррари,  Франсуаза Геган, ...",Ив Дешам,"драма,  музыка, ... слова",€5 500 000,$2 087 128,+ $79 945 006 = $82 032 134 сборы,$50 500,"8.59 млн,      1.53 млн,      1.05 млн, ...","17 марта 2004, ...","25 августа 2005,                             «Централ Партнершип»","6 октября 2005,                        «CP-Digital»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,95 мин. / 01:35
8.295,,Семь,Se7en,"Брэд Питт, Морган Фриман, Гвинет Пэлтроу, Кевин Спейси, Р. Ли Эрми, Джон К. МакГинли, Ричард Шифф, Ричард Раундтри, Марк Бун Джуниор, Рег Э. Кэти, ..., ",1995,США,«Он возомнил себя Богом и начал карать...»,Дэвид Финчер,Эндрю Кевин Уокер,"Филлис Карлайл,  Арнольд Копельсон,  Стивен Браун, ...",Дариус Хонджи,Говард Шор,"Артур Макс,  Гари Уисснер,  Майкл Каплан, ...",Ричард Фрэнсис-Брюс,"триллер,  драма,  криминал,  детектив, ... слова",$33 000 000,$100 125 643,+ $227 186 216 = $327 311 859 сборы,,"23 млн,      5.5 млн,      4.94 млн, ...","15 сентября 1995, ...",,"25 сентября 2008,                        «CP-Digital»",,"зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,127 мин. / 02:07
8.331,96%,Молчание ягнят,The Silence of the Lambs,"Джоди Фостер, Энтони Хопкинс, Брук Смит, Скотт Гленн, Тед Левайн, Энтони Хилд, Кейси Леммонс, Дайан Бэйкер, Чарльз Нэпьер, Роджер Корман, ..., ",1990,США,«From the terrifying best seller»,Джонатан Демме,"Тед Тэлли,  Томас Харрис","Рональд М. Бозман,  Эдвард Саксон,  Кеннет Атт, ...",Так Фудзимото,Говард Шор,"Кристи Зиа,  Тим Галвин,  Коллин Этвуд, ...",Крэйг МакКэй,"триллер,  детектив,  криминал,  драма,  ужасы, ... слова",$19 000 000,$130 742 922,+ $142 000 000 = $272 742 922 сборы,,"31.1 млн,      3.97 млн,      3.72 млн, ...","30 января 1991, ...",,"5 февраля 2009,                        «Двадцатый Век Фокс СНГ»","23 апреля 2009,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,114 мин. / 01:54
8.663,94%,Клаус,Klaus,"Джейсон Шварцман, Дж.К. Симмонс, Джоан Кьюсак, Рашида Джонс, Уилл Сассо, Неда Маргрете Лабба, Серхио Паблос, Норм МакДональд, Ивэн Агос, Скай Алексис, ..., ",2019,"Испания,  Великобритания",«Discover the friendship that launched a legend»,"Серхио Паблос,  Карлос Мартинес Лопес","Серхио Паблос,  Джеймс Махони,  Зэк Льюис","Густаво Феррада,  Мерседес Гамеро,  Микель Лехарса, ...",,Альфонсо Гонсалес Агиляр,"Шимон Бернацки,  Марчин Якубовски",Пабло Реверт,"мультфильм,  семейный,  комедия,  приключения, ... слова",$40 000 000,,,,,"8 ноября 2019, ...",,,,,рекомендуется присутствие родителей,96 мин. / 01:36
8.253,94%,Шоу Трумана,The Truman Show,"Джим Керри, Лора Линни, Ноа Эммерих, Наташа МакЭлхоун, Эд Харрис, Холланд Тейлор, Брайан Дилейт, Пол Джаматти, Гарри Ширер, Филип Бейкер Холл, ..., ",1998,США,«Он в прямом эфире и даже не подозревает...»,Питер Уир,Эндрю Никкол,"Эдвард С. Фельдман,  Эндрю Никкол,  Скотт Рудин, ...",Питер Бижу,Буркхард фон Далльвиц,"Деннис Гасснер,  Ричард Л. Джонсон,  Мэрлин Мэтьюз, ...","William M. Anderson,  Ли Смит","фантастика,  драма,  комедия, ... слова",$60 000 000,$125 618 201,+ $138 500 000 = $264 118 201 сборы,,"26.8 млн,      2.87 млн,      2.54 млн, ...","1 июня 1998, ...","5 ноября 1998,                             «Ист-Вест»","15 декабря 2009,                        «Юниверсал Пикчерс Рус»",,для любой зрительской аудитории,рекомендуется присутствие родителей,103 мин. / 01:43
8.198,98%,Как приручить дракона,How to Train Your Dragon,"Джей Барушель, Джерард Батлер, Крэйг Фергюсон, Америка Феррера, Джона Хилл, Кристофер Минц-Плассе, ТиДжей Миллер, Кристен Уиг, Робин Аткин Даунс, Филип МакГрэйд, ..., ",2010,США,«One adventure will change two worlds»,"Дин ДеБлуа,  Крис Сандерс","Уильям Дэвис,  Дин ДеБлуа,  Крис Сандерс, ...","Бонни Арнольд,  Кристин Белсон,  Сюзанн Бёрги, ...",Джил Циммерман,Джон Пауэлл,"Кэти Алтери,  Пьер-Оливье Винсент","Марианн Брэндон,  Даррен Т. Холмс","мультфильм,  фэнтези,  комедия,  приключения,  семейный, ... слова",$165 000 000,$217 581 231,+ $277 297 528 = $494 878 759  сборы,$23 485 237,"27.6 млн,      3.35 млн,      2.95 млн, ...","18 марта 2010, ...","18 марта 2010,                             «Централ Партнершип»                           3D","2 ноября 2010,                        «Юниверсал Пикчерс Рус»","2 ноября 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 6 лет",рекомендуется присутствие родителей,98 мин. / 01:38
8.309,93%,Терминатор 2: Судный день,Terminator 2: Judgment Day,"Арнольд Шварценеггер, Линда Хэмилтон, Эдвард Ферлонг, Роберт Патрик, Эрл Боэн, Джо Мортон, С. Ипейта Меркерсон, Кастуло Герра, Дэнни Кукси, Дженетт Голдстин, ..., ",1991,США,«Same Make. Same Model. New Mission»,Джеймс Кэмерон,"Джеймс Кэмерон,  Уильям Уишер мл.","Джеймс Кэмерон,  Стефани Остин,  Гейл Энн Хёрд, ...",Адам Гринберг,Брэд Фидель,"Джозеф С. Немец III,  Джозеф П. Лаки,  Марлен Стюарт, ...","Конрад Бафф IV,  Доди Дорн,  Марк Голдблатт, ...","фантастика,  боевик,  триллер, ... слова",$102 000 000,$204 843 345,+ $312 106 698 = $516 950 043 сборы,$705 164,"48.7 млн,      6.12 млн,      4.65 млн, ...","1 июля 1991, ...","1994,                             «Аргус-СВ»","1 сентября 2009,                        «Юниверсал Пикчерс Рус»",,"зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,137 мин. / 02:17
8.183,87%,Джанго освобожденный,Django Unchained,"Джейми Фокс, Кристоф Вальц, Леонардо ДиКаприо, Керри Вашингтон, Сэмюэл Л. Джексон, Уолтон Гоггинс, Деннис Кристофер, Джеймс Римар, Дон Джонсон, Лора Кайюэтт, ..., ",2012,США,«Они забрали его свободу. Он заберёт у них всё»,Квентин Тарантино,Квентин Тарантино,"Реджинальд Хадлин,  Пилар Савон,  Стейси Шер, ...",Роберт Ричардсон,-,"Дж. Майкл Рива,  Пейдж Бакнер,  Дэвид Ф. Классен, ...",Фред Раскин,"вестерн,  боевик,  драма,  комедия, ... слова",$100 000 000,$162 805 434,+ $262 562 804 = $425 368 238  сборы,$15 990 907,"4.45 млн,      4.3 млн,      1.99 млн, ...","11 декабря 2012, ...","17 января 2013,                             «WDSSPR»","28 мая 2013,                        «Columbia/Sony»","28 мая 2013,                        «Columbia/Sony»","зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,165 мин. / 02:45
8.541,97%,Крестный отец 2,The Godfather: Part II,"Аль Пачино, Роберт Де Ниро, Дайан Китон, Роберт Дювалл, Джон Казале, Ли Страсберг, Майкл В. Гаццо, Талия Шайр, Г.Д. Спрэдлин, Гастоне Москин, ..., ",1974,США,«All the power on earth can't change destiny»,Фрэнсис Форд Коппола,"Марио Пьюзо,  Фрэнсис Форд Коппола","Фрэнсис Форд Коппола,  Грэй Фредериксон,  Фред Рус, ...",Гордон Уиллис,Нино Рота,"Дин Тавуларис,  Анджело П. Грэхэм,  Джон Дэппер, ...","Бэрри Малкин,  Ричард Маркс,  Питер Зиннер","драма,  криминал, ... слова",$13 000 000,$47 542 841,+ $100 594 = $47 643 435 сборы,,"29.4 млн,      1.5 млн,      1.33 млн, ...","12 декабря 1974, ...",,"24 ноября 2009,                        «Юниверсал Пикчерс Рус»","19 августа 2013,                        «Новый Диск»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,202 мин. / 03:22
8.344,,Собачье сердце,,"Владимир Толоконников, Евгений Евстигнеев, Борис Плотников, Роман Карцев, Нина Русланова, Ольга Мелихова, Алексей Миронов, Анжелика Неволина, Наталья Фоменко, Иван Ганжа, ..., ",1988,СССР,-,Владимир Бортко,"Наталия Бортко,  Михаил Булгаков",,Юрий Шайгарданов,Владимир Дашкевич,Владимир Светозаров,Леда Семенова,"фантастика,  драма,  комедия, ... слова",,,,,,"19 ноября 1988, ...",,"11 января 2011,                        «Парадиз»","25 октября 2011,                        «Парадиз»","зрителям, достигшим 12 лет",рекомендуется присутствие родителей,136 мин. / 02:16
8.202,80%,Нокдаун,Cinderella Man,"Рассел Кроу, Рене Зеллвегер, Пол Джаматти, Крэйг Бирко, Пэдди Консидайн, Брюс МакГилл, Дэвид Хубанд, Коннор Прайс, Эриель Уоллер, Патрик Луис, ..., ",2005,США,«Самый знаменитый боксер Америки»,Рон Ховард,"Клифф Холлингсворт,  Акива Голдсман","Брайан Грейзер,  Рон Ховард,  Пенни Маршалл, ...",Сальваторе Тотино,Томас Ньюман,"Винн Томас,  Питер Гранди,  Дэн Ярхи, ...","Дэниэл П. Хэнли,  Майк Хилл","драма,  биография,  спорт, ... слова",$88 000 000,$61 649 911,+ $46 890 000 = $108 539 911  сборы,$605 000,"9.62 млн,      630 тыс.,      490.3 тыс., ...","23 мая 2005, ...","15 сентября 2005,                             «Каскад фильм»","26 октября 2010,                        «Уолт Дисней Компани СНГ»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,144 мин. / 02:24
8.252,73%,Игра,The Game,"Майкл Дуглас, Шон Пенн, Дебора Кара Ангер, Джеймс Ребхорн, Питер Донат, Кэррол Бейкер, Анна Катарина, Армин Мюллер-Шталь, Чарльз Мартине, Скотт Хантер МакГуайр, ..., ",1997,США,«Вы готовы играть?»,Дэвид Финчер,"Джон Бренкето,  Майкл Феррис","Сиан Чаффин,  Стив Голин,  Джон Бренкето, ...",Харрис Савидис,Говард Шор,"Джеффри Бикрофт,  Джеймс Дж. Мураками,  Стив Сэклад, ...",Джеймс Хэйгуд,"триллер,  драма,  детектив,  приключения, ... слова",$50 000 000,$48 323 648,+ $61 100 000 = $109 423 648 сборы,$53 925,"10.5 млн,      1.43 млн,      1.2 млн, ...","3 сентября 1997, ...","Январь 1998,                             «Союз»","1 июня 1998,                        «AMALGAMA»","17 августа 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,129 мин. / 02:09
8.280,76%,Храброе сердце,Braveheart,"Мэл Гибсон, Софи Марсо, Патрик МакГуэн, Энгус Макфадьен, Брендан Глисон, Катрин МакКормак, Брайан Кокс, Джерард МакСорли, Мартин Мерфи, Томми Флэнаган, ..., ",1995,"США,  Ирландия","«Все умирают, но не все живут по-настоящему»",Мэл Гибсон,Рэндалл Уоллес,"Брюс Дэвей,  Мэл Гибсон,  Алан Лэдд мл., ...",Джон Толл,Джеймс Хорнер,"Томас Е. Сандерс,  Кен Корт,  Нэйтан Краули, ...",Стивен Розенблюм,"история,  биография,  драма,  военный, ... слова",$72 000 000,$75 609 945,+ $137 606 271 = $213 216 216 сборы,,"17.4 млн,      2.27 млн,      2.17 млн, ...","18 мая 1995, ...",,"19 июля 2005,                        «Гемини-Фильм»","21 октября 2009,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,178 мин. / 02:58
8.555,,Шерлок Холмс и доктор Ватсон: Знакомство,,"Василий Ливанов, Виталий Соломин, Рина Зеленая, Мария Соломина, Геннадий Богачёв, Федор Одиноков, Катерина Шелл, ",1979,СССР,-,Игорь Масленников,"Юлий Дунский,  Валерий Фрид,  Артур Конан Дойл",,Юрий Векслер,Владимир Дашкевич,Марк Каплан,,"криминал,  детектив, ... слова",,,,,,22 марта 1980,,"2 февраля 2010,                        «Lizard Cinema Trade»",,"зрителям, достигшим 12 лет",,68 мин. / 01:08
8.375,,Москва слезам не верит,,"Вера Алентова, Ирина Муравьёва, Алексей Баталов, Раиса Рязанова, Александр Фатюшин, Борис Сморчков, Юрий Васильев, Наталья Вавилова, Виктор Уральский, Валентина Ушакова, ..., ",1979,СССР,"«The Funniest, Tenderest Love Story of the Year»",Владимир Меньшов,Валентин Черных,,Игорь Слабневич,Сергей Никитин,"Саид Меняльщиков,  Жанна Мелконян",Елена Михайлова,"драма,  мелодрама,  комедия, ... слова",$900 000,$2 500 000 сборы,,,"84.4 млн,      200 тыс.","11 февраля 1980, ...",,"11 января 2011,                        «Парадиз»","1 ноября 2011,                        «Парадиз»","зрителям, достигшим 16 лет",рекомендуется присутствие родителей,150 мин. / 02:30
8.131,81%,Гран Торино,Gran Torino,"Клинт Иствуд, Би Ванг, Кристофер Карли, Эни Хи, Брайан Хейли, Джеральдин Хьюз, Дрима Уокер, Брайан Хау, Джон Кэрролл Линч, Уильям Хилл, ..., ",2008,"Германия,  США",-,Клинт Иствуд,"Ник Шенк,  Дэйв Джонсон","Клинт Иствуд,  Билл Гербер,  Роберт Лоренц, ...",Том Стерн,"Кайл Иствуд,  Майкл Стивенс","Джеймс Дж. Мураками,  Филл Загаевский,  Шела Конли, ...","Джоэл Кокс,  Гари Роач","драма, ... слова",$33 000 000,$148 095 302,+ $121 862 926 = $269 958 228  сборы,$395 962,"3.41 млн,      2.1 млн,      1.53 млн, ...","9 декабря 2008, ...","9 апреля 2009,                             «Каро-Премьер»","23 июня 2009,                        «Юниверсал Пикчерс Рус»","7 июля 2009,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,116 мин. / 01:56
8.331,93%,Одержимость,Whiplash,"Майлз Теллер, Дж.К. Симмонс, Пол Райзер, Мелисса Бенойст, Остин Стоуэлл, Нат Лэнг, Крис Малки, Дэймон Гаптон, Сюанн Споук, Макс Кэш, ..., ",2013,США,«The road to greatness can take you to the edge»,Дэмьен Шазелл,Дэмьен Шазелл,"Джейсон Блум,  Хелен Эстабрук,  Дэвид Ланкастер, ...",Шэрон Мейр,Джастин Гурвиц,"Мелани Джонс,  Хантер Браун,  Лиза Норсиа, ...",Том Кросс,"драма,  музыка, ... слова",$3 300 000,$13 092 000,+ $35 890 041 = $48 982 041 сборы,$189 987,"639.7 тыс.,      111.6 тыс.,      38.2 тыс., ...","16 января 2014, ...","23 октября 2014,                             «Премиум Фильм»","26 февраля 2015,                        «CP Дистрибуция»",,"зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,106 мин. / 01:46
8.246,89%,Человек дождя,Rain Man,"Дастин Хоффман, Том Круз, Валерия Голино, Джералд Р. Молен, Джек Мёрдок, Майкл Д. Робертс, Ральф Сеймур, Люсинда Дженни, Бонни Хант, Ким Робиллард, ..., ",1988,США,«A journey through understanding and fellowship»,Барри Левинсон,"Бэрри Морроу,  Роналд Бэсс","Марк Джонсон,  Питер Губер,  Дэвид МакГифферт, ...",Джон Сил,Ханс Циммер,"Ида Рэндом,  Уильям А. Эллиотт,  Берни Поллак, ...",Стью Линдер,"драма, ... слова",$25 000 000,$172 825 435,+ $182 000 000 = $354 825 435 сборы,,"43.3 млн,      6.47 млн,      6.01 млн, ...","12 декабря 1988, ...","17 сентября 1993,                             «Ист-Вест»","23 июля 2009,                        «Двадцатый Век Фокс СНГ»","20 октября 2011,                        «Двадцатый Век Фокс СНГ»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,133 мин. / 02:13
8.165,76%,Прислуга,The Help,"Эмма Стоун, Виола Дэвис, Брайс Даллас Ховард, Октавия Спенсер, Джессика Честейн, Ана О’Райли, Эллисон Дженни, Сисси Спейсек, Сисели Тайсон, Мэри Стинберген, ..., ",2011,"США,  Индия,  ОАЭ,  Великобритания,  Франция,  Канада,  Германия",«Большие перемены начинаются с малого»,Тейт Тейлор,"Тейт Тейлор,  Кэтрин Стокетт","Майкл Барнатан,  Крис Коламбус,  Брунсон Грин, ...",Стивен Голдблатт,"Томас Ньюман,  Stacy Wilde","Марк Рикер,  Курт Бич,  Шэрен Дэвис, ...",Хьюз Уинборн,"драма, ... слова",$25 000 000,$169 708 112,+ $46 931 000 = $216 639 112 сборы,$63 000,"505.9 тыс.,      411.1 тыс.,      99.6 тыс., ...","9 августа 2011, ...","16 февраля 2012,                             «WDSSPR»","27 марта 2012,                        «Уолт Дисней Компани СНГ»","27 марта 2012,                        «Уолт Дисней Компани СНГ»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,146 мин. / 02:26
8.290,95%,Летят журавли,,"Татьяна Самойлова, Алексей Баталов, Василий Меркурьев, Александр Шворин, Светлана Харитонова, Константин Кадочников, Валентин Зубков, Антонина Богданова, Борис Коковкин, Екатерина Куприянова, ..., ",1957,СССР,-,Михаил Калатозов,Виктор Розов,,Сергей Урусевский,Моисей Вайнберг,"Евгений Свидетелев,  Л. Наумов",Мария Тимофеева,"военный,  мелодрама,  история,  драма, ... слова",,,,,"28.3 млн,      5.41 млн","12 октября 1957, ...","8 мая 2019,                             «Искусство кино»","6 июня 2013,                        «Мистерия Звука»",,"зрителям, достигшим 12 лет",,95 мин. / 01:35
8.251,88%,Изгой,Cast Away,"Том Хэнкс, Хелен Хант, Крис Нот, Ник Сирси, Дженифер Льюис, Пол Санчез, Лари Уайт, Леонид Ситер, Дэвид Брукс, Елена Папович, ..., ",2000,США,"«At the edge of the world, his journey begins»",Роберт Земекис,Уильям Бройлес мл.,"Том Хэнкс,  Джек Рэпк,  Стив Старки, ...",Дон Бёрджесс,Алан Сильвестри,"Рик Картер,  Стефан Дешан,  Элизабет Лэпп, ...",Артур Шмидт,"драма,  мелодрама,  приключения, ... слова",$90 000 000,$233 632 142,+ $196 000 000 = $429 632 142 сборы,,"42.9 млн,      4.89 млн,      3.37 млн, ...","7 декабря 2000, ...","25 января 2001,                             «Ист-Вест»","25 декабря 2001,                        «Premier Digital»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,143 мин. / 02:23
